time,-90,-85,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
520,6.23E+05,1.78E+06,4.28E+06,3.28E+06,3.49E+06,5.60E+06,4.73E+06,5.15E+06,4.48E+06,7.31E+06,5.23E+06,4.15E+06,2.49E+06,4.77E+06,5.60E+06,7.02E+06,6.39E+06,5.48E+06,6.06E+06,4.65E+06,2.49E+06,4.98E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
530,7.89E+05,2.12E+06,4.11E+06,3.40E+06,4.19E+06,6.27E+06,4.36E+06,3.40E+06,2.74E+06,4.65E+06,5.06E+06,4.90E+06,3.94E+06,4.94E+06,5.35E+06,6.10E+06,6.97E+06,6.18E+06,6.68E+06,4.52E+06,2.37E+06,1.45E+06,6.64E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
540,9.96E+05,1.95E+06,3.98E+06,4.28E+06,4.32E+06,6.81E+06,3.98E+06,2.08E+06,2.41E+06,3.74E+06,3.53E+06,4.98E+06,3.86E+06,5.65E+06,6.18E+06,6.18E+06,6.60E+06,6.23E+06,6.85E+06,4.15E+06,2.49E+06,1.37E+06,9.96E+05,1.66E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
550,7.47E+05,1.91E+06,3.86E+06,3.45E+06,3.78E+06,6.48E+06,4.19E+06,3.57E+06,3.90E+06,3.53E+06,3.53E+06,4.19E+06,3.28E+06,5.73E+06,7.22E+06,7.80E+06,6.60E+06,5.02E+06,5.98E+06,3.74E+06,2.53E+06,2.16E+06,1.54E+06,4.15E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
560,4.98E+05,2.28E+06,4.32E+06,2.95E+06,2.74E+06,4.19E+06,3.40E+06,3.45E+06,3.24E+06,5.52E+06,4.48E+06,4.23E+06,4.07E+06,6.18E+06,7.64E+06,8.43E+06,7.10E+06,4.98E+06,5.19E+06,3.28E+06,2.41E+06,2.12E+06,3.74E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
570,6.23E+05,1.04E+06,2.37E+06,2.86E+06,2.86E+06,4.32E+06,4.57E+06,3.78E+06,4.32E+06,6.48E+06,3.45E+06,4.36E+06,5.23E+06,7.02E+06,6.68E+06,6.39E+06,6.60E+06,6.18E+06,5.69E+06,2.95E+06,1.95E+06,1.87E+06,1.20E+06,5.81E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
580,0.00E+00,0.00E+00,9.96E+05,1.66E+06,1.95E+06,4.11E+06,5.44E+06,6.06E+06,6.85E+06,7.39E+06,4.03E+06,5.69E+06,2.78E+06,4.77E+06,5.60E+06,6.60E+06,6.68E+06,5.81E+06,4.77E+06,3.57E+06,3.28E+06,1.99E+06,1.25E+06,1.20E+06,6.64E+05,4.15E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
590,0.00E+00,0.00E+00,0.00E+00,4.15E+04,1.58E+06,4.36E+06,5.89E+06,6.93E+06,6.68E+06,6.85E+06,4.90E+06,6.06E+06,4.40E+06,4.86E+06,4.61E+06,5.40E+06,5.35E+06,4.73E+06,5.19E+06,3.57E+06,3.86E+06,2.28E+06,1.74E+06,1.87E+06,1.20E+06,7.89E+05,2.08E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
600,0.00E+00,0.00E+00,0.00E+00,4.15E+04,1.16E+06,3.24E+06,4.03E+06,5.89E+06,6.35E+06,7.39E+06,4.19E+06,6.23E+06,4.65E+06,5.35E+06,5.35E+06,4.57E+06,5.98E+06,4.86E+06,5.56E+06,4.03E+06,3.28E+06,2.70E+06,2.12E+06,1.70E+06,1.70E+06,1.58E+06,7.89E+05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
